id,name,folder,creator,type,database,source_databases,uses_uk,uses_de,uses_es,created_at,updated_at,last_run,last_any_run,last_viewed_at,view_count,archived,url,has_template_tags,has_alias_self_ref,table_count,tables,snowflake_keywords,snowflake_keyword_total,snowflake_keyword_detail,last_run_errored,last_run_zero_rows,dashboard_count,dashboards,total_runs,total_runs_6m,dashboard_runs_6m,direct_runs_6m,unique_users_total,unique_users_6m,total_views_6m,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
17135,Stock & Used live Deals,Carwow / Germany / OPS / Till,Till Willweber,native,Snowflake DE,"carwow, de",False,True,False,2025-09-24T08:39:46.21453Z,2026-03-12T23:37:34.640076Z,2026-03-30T07:12:38.02706Z,,2026-06-24T08:27:02.070599Z,749,False,https://carwow.metabaseapp.com/question/17135,False,True,3,"de.business_performance_metrics.commercial_bpm, de.dealers_site.dealership_dealership_tags, carwow.gyc_pricing.daily_live_deals_history",0,0,,False,False,1,Used Car Dashboard,747,368,367,1,6,4,370,89,71,79,77,33,19
7202,Stock/Used Supply Data,Hannah Bishop's Personal Collection,Hannah Bishop,native,Retool Database,retool database,False,False,False,2025-01-03T13:50:47.099283Z,2026-03-25T07:39:54.024308Z,2025-01-03T13:50:47.885727Z,,2025-01-03T13:50:47.870004Z,1,False,https://carwow.metabaseapp.com/question/7202,False,False,1,used_tracking,0,0,,,,0,,1,0,0,0,1,0,0,0,0,0,0,0,0
6779,Stock/Used Supply Data,Carwow / Germany / OPS / Stock/Used Data / Used,Burak Yilmaz,native,Retool Database,retool database,False,False,False,2024-11-18T08:46:51.963339Z,2026-03-13T02:31:37.282752Z,2026-04-27T12:32:59.301461Z,,2026-04-27T12:32:59.275454Z,12857,False,https://carwow.metabaseapp.com/question/6779,False,False,1,used_tracking,0,0,,,,1,Used - Dashboard,12858,27,25,2,22,6,27,4,13,5,5,0,0
7563,Stock/Used Supply Data - Duplicate,Carwow / Germany / OPS / Stock/Used Data / Used,Shanil Mehta,native,Retool Database,retool database,False,False,False,2025-01-23T14:38:09.770421Z,2026-03-13T02:31:43.369562Z,2026-03-19T14:53:40.860253Z,,2026-03-19T14:52:36.722529Z,6,False,https://carwow.metabaseapp.com/question/7563,False,False,1,used_tracking,0,0,,,,1,Used - Dashboard - UK,7,4,2,2,4,2,3,0,1,3,0,0,0
12443,Stock & Used Supply - Dealers,Carwow / Germany / MARKETPLACE / Commercial reporting ,Mohamed Lolieh,native,Snowflake DE,"carwow, de",False,True,False,2025-06-18T11:44:40.386244Z,2026-03-25T07:42:32.905219Z,2025-06-23T05:00:51.954334Z,,2026-02-17T15:26:56.826625Z,50,False,https://carwow.metabaseapp.com/question/12443,True,False,2,"carwow.gyc_pricing.daily_live_deals_history, de.business_performance_metrics.commercial_bpm",0,0,,,,0,,174,1,0,1,4,1,1,0,1,0,0,0,0
1268,Strategic Metrics with TMR (ES),Carwow / Spain,Marc Dalmau Marcé,native,Snowflake ES,es,False,False,True,2023-05-26T09:45:57.123939Z,2026-03-13T01:47:48.158754Z,2025-01-16T12:17:47.720701Z,,2025-01-16T12:17:34.031452Z,463,False,https://carwow.metabaseapp.com/question/1268,False,False,7,"es.quotes_site.cars, es.enhanced.enquiries, es.dealers_site.order_transitions, es.dealers_site.order_transitions, es.dealers_site.dealership_groups, es.business_performance_metrics.commercial_bpm, es.dealers_site.dealership_groups",1,4,DATEADD:4,,,0,,1444,349,0,349,2,1,0,62,56,62,59,62,48
1267,Strategic Metrics with TMR (ES) - V2,Carwow / Spain,Marc Dalmau Marcé,native,Snowflake ES,es,False,False,True,2023-05-26T09:37:26.474733Z,2026-03-13T01:47:44.462604Z,2026-06-18T16:05:18.139308Z,,2026-06-18T16:05:18.098244Z,261,False,https://carwow.metabaseapp.com/question/1267,False,False,9,"es.quotes_site.cars, es.enhanced.enquiries, es.business_performance_metrics.commercial_bpm, es.business_performance_metrics.commercial_bpm, es.dealers_site.order_transitions, es.dealers_site.order_transitions, es.dealers_site.dealership_groups, es.business_performance_metrics.commercial_bpm, es.dealers_site.dealership_groups",1,6,DATEADD:6,,,0,,770,179,0,179,3,2,1,31,28,31,31,32,26
25147,Strategic Pitch DE: Car Configurations per Unique User ID,Carwow / Germany / OPS / Till,Till Willweber,native,Snowflake DE,de,False,True,False,2026-04-13T07:49:47.302072Z,2026-04-13T07:49:47.385166Z,2026-04-16T14:00:25.92612Z,,2026-04-16T14:00:25.865187Z,1,False,https://carwow.metabaseapp.com/question/25147,False,False,1,enhanced.car_configurations,0,0,,,,0,,1,1,0,1,1,1,1,0,0,0,1,0,0
25117,Strategic Pitch DE Leasing enquiries per year,Carwow / Germany / OPS / Till,Till Willweber,native,Snowflake DE,de,False,True,False,2026-04-13T06:54:27.197876Z,2026-06-03T12:50:22.87482Z,2026-06-03T12:48:49.427021Z,,2026-06-03T12:48:49.37868Z,2,False,https://carwow.metabaseapp.com/question/25117,False,False,1,enhanced.enquiries,0,0,,,,0,,3,3,0,3,1,1,2,0,0,0,2,0,1
25081,Strategic Pitch DE: Leasing growth per Month,Carwow / Germany / OPS / Till,Till Willweber,native,Snowflake DE,de,False,True,False,2026-04-10T13:48:26.898008Z,2026-04-13T06:54:42.060847Z,2026-04-13T06:32:16.991677Z,,2026-04-13T06:32:16.892751Z,1,False,https://carwow.metabaseapp.com/question/25081,False,False,1,enhanced.enquiries,1,1,TO_CHAR:1,,,0,,1,1,0,1,1,1,1,0,0,0,1,0,0
