dashboard_id,dashboard_name,dashboard_folder,question_id,question_name
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9477,DoD Total Stock live
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9477,DoD Total Stock live
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9477,DoD Total Stock live
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9476,Stock Supply (New & Used)
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9477,DoD Total Stock live
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9477,DoD Total Stock live
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9477,DoD Total Stock live
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9881,MTD Leasing CEs vs Target
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9879,MTD Total CEs vs Target
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9883,MTD Retail CEs vs Target - Modified
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9884,MTD Used CEs vs Target - Modified
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9889,MTD CEs  vs. Target - Modified
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9889,MTD CEs  vs. Target - Modified
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9889,MTD CEs  vs. Target - Modified
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,9889,MTD CEs  vs. Target - Modified
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,10039,DE: Daily Funnel + DAILY CES TARGET
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,17689,STOCK_LIVE
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,17722,Used Live (PLP)
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,23565,DE: Daily Funnel - New Data Model - Yday CEs - Used
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,23564,DE: Daily Funnel - New Data Model - Yday CEs - Leasing
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,23563,DE: Daily Funnel - New Data Model - Yday CEs
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,23566,DE: Daily Funnel - New Data Model - Yday CEs - Factory
1651,Commercial Dashboard,Carwow / Germany / MARKETPLACE,23567,DE: Daily Funnel - New Data Model - Weekly
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12213,Configurations
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12212,Chargabeable Enquiries
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12214,Chargabeable Enquiries Share by product type
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12216,Sales & E2S
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12220,Radiused Dealers
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12222,Sites w/ E2S <10% Rolling 28 days
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12224,AVCOD
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12226,Share of Users w/x Offers
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12278,Saving
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12640,Share of dealers offering leasing
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12742,Model Performance lx days
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12742,Model Performance lx days
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,13432,Revenue
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12277,Dealership_by_State - change test - Duplicate
2476,"Commercial Dashboard OUTDATED, don't use",Carwow / Germany / MARKETPLACE / Commercial reporting ,12219,Dealership_by_State - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13940,Chargeable Enquiries - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13934,Configurations & C2E (Dealership Filter hier nicht anwendbar) - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13942,Chargabeable Enquiries Share by product type - Duplicate - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13940,Chargeable Enquiries - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13930,Churn Rate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13939,Dealership_by_State - change - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13931,Dealership_by_State - Duplicate - Duplicate - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13935,Share of Users w/x Offers - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13938,Radiused Dealers - Duplicate - Duplicate
2674,Commercial Dashboard Test - Duplicate,Carwow / Germany / MARKETPLACE / Commercial reporting ,13937,Saving - Duplicate
